MM,JS,p_corr
1,1,0.8871740564972929
2,2,0.7578425081917181
2,3,0.7194287780091473
2,4,0.7330369880939559
2,5,0.7111595060692829
2,6,0.7175637649346988
2,7,0.696082200323397
2,8,0.6933013916461651
2,9,0.6754980318743266
2,10,0.6752203978326107
2,11,0.6642361915182504
2,12,0.6670831543584874
2,13,0.6535801394331726
2,14,0.6516233582046808
2,15,0.6383550399152809
2,16,0.6356661535032807
2,17,0.6181953277399321
2,18,0.6126600989995739
3,2,0.727127787262197
3,3,0.7724273498268555
3,4,0.7694050789582696
3,5,0.7639192474089661
3,6,0.7576773550838211
3,7,0.744166256664442
3,8,0.7362000226877082
3,9,0.7223094899506877
3,10,0.7189587251836773
3,11,0.7097045583366624
3,12,0.7078768932535774
3,13,0.6980211208536381
3,14,0.6935741833128011
3,15,0.6815680004112249
3,16,0.6757459858198337
3,17,0.6613332452956514
3,18,0.6530401608334295
3,19,0.6365584892313342
3,20,0.6274153478882073
3,21,0.6110982659377925
3,22,0.6041464371133908
4,2,0.7168100995376345
4,3,0.7423845839617937
4,4,0.7833210494956119
4,5,0.7669856947007154
4,6,0.775615103523777
4,7,0.7561306882500598
4,8,0.7563312339949659
4,9,0.7391766652379314
4,10,0.7398386290271665
4,11,0.7264846204699645
4,12,0.7280755434480087
4,13,0.715165053622595
4,14,0.7143479822992448
4,15,0.6985129730710549
4,16,0.6950928624540856
4,17,0.6782965058165596
4,18,0.6727249330053724
4,19,0.6546032328896121
4,20,0.6470210003273024
4,21,0.6295316604558322
4,22,0.6226774518233402
4,23,0.6062790278439759
5,2,0.7111229471719965
5,3,0.7534441461927752
5,4,0.7794297685680034
5,5,0.7921825262222095
5,6,0.7923285059405207
5,7,0.7837157949436104
5,8,0.779035978078942
5,9,0.7677222343033255
5,10,0.7641016145820028
5,11,0.7543446816045364
5,12,0.752684881227037
5,13,0.7424012695841136
5,14,0.738306982539206
5,15,0.7255896793625927
5,16,0.7190682319579236
5,17,0.7045219866161986
5,18,0.6969370601567086
5,19,0.6809852977707874
5,20,0.6728670337626883
5,21,0.6558407869978066
5,22,0.6487231551337775
5,23,0.6326285952090865
6,2,0.697394709044659
6,3,0.7309380741627842
6,4,0.7704487847528431
6,5,0.7764284779783333
6,6,0.7986026793291332
6,7,0.7860080032199599
6,8,0.7907213459981319
6,9,0.7751218412004682
6,10,0.7771588012855665
6,11,0.7640680268793106
6,12,0.766428839234078
6,13,0.7523109273546936
6,14,0.7515677344987494
6,15,0.7360535542233467
6,16,0.7328840339813921
6,17,0.7161462249952605
6,18,0.7108797885850143
6,19,0.6934947097900488
6,20,0.6873568234857224
6,21,0.6692360216146307
6,22,0.6630313823592519
6,23,0.6460884414998709
7,2,0.686818090107868
7,3,0.7321523145411284
7,4,0.7640798981826217
7,5,0.7818922481199936
7,6,0.7980770927872051
7,7,0.8026282898699
7,8,0.8023482669681963
7,9,0.794632612265924
7,10,0.7931658946763125
7,11,0.7849399487017567
7,12,0.783792016001702
7,13,0.77309611832847
7,14,0.7689477198069191
7,15,0.7561739109680713
7,16,0.7506353100244103
7,17,0.7366550833941476
7,18,0.7302391846497608
7,19,0.7147844551625699
7,20,0.707889883460631
7,21,0.6914291605541149
7,22,0.684815505982867
7,23,0.668319293786233
8,2,0.67404910206677
8,3,0.7140487822399385
8,4,0.7505519384882374
8,5,0.7653484653703249
8,6,0.7902743083416403
8,7,0.7909182515768068
8,8,0.804405980795957
8,9,0.793376955536228
8,10,0.798580658703338
8,11,0.786474602160596
8,12,0.7900464433625352
8,13,0.7763536311899865
8,14,0.776003796271622
8,15,0.7608662952077616
8,16,0.7584889470782122
8,17,0.7428803167934902
8,18,0.7390816582998071
8,19,0.7222326363199094
8,20,0.717127618379557
8,21,0.6996122070359393
8,22,0.6945095693371974
8,23,0.6774545437840968
9,2,0.665237591626412
9,3,0.7099396895410357
9,4,0.7422097051090901
9,5,0.7646379233750051
9,6,0.7848468036670594
9,7,0.7939399789219935
9,8,0.8038854724426625
9,9,0.8051460531582788
9,10,0.8066721339585332
9,11,0.8008827144335783
9,12,0.8009133003214243
9,13,0.7915730152066593
9,14,0.7885896980777433
9,15,0.7765547133165355
9,16,0.7725606390706184
9,17,0.7594331393006403
9,18,0.7544332287498399
9,19,0.7399483081565115
9,20,0.7340844193854394
9,21,0.7182273715024321
9,22,0.712509178574522
9,23,0.6967975539163741
10,2,0.6536119629385314
10,3,0.6958381723720893
10,4,0.7308155451593211
10,5,0.749140286033154
10,6,0.7733983501066775
10,7,0.7794924568232499
10,8,0.7963380783422863
10,9,0.7943994408075333
10,10,0.8054312767910237
10,11,0.7965461355886627
10,12,0.8020158969117366
10,13,0.7901372326833072
10,14,0.7913141057264453
10,15,0.7775307149996893
10,16,0.7768634225267599
10,17,0.7622388591377741
10,18,0.7597595879988919
10,19,0.7439882385198061
10,20,0.7401959436402883
10,21,0.7234942027878661
10,22,0.7192636668829203
10,23,0.7030131057313275
11,2,0.6465030103853909
11,3,0.6916148139444929
11,4,0.7228929782527518
11,5,0.7452841594771304
11,6,0.7667185275263415
11,7,0.7785909093729241
11,8,0.7919376396915213
11,9,0.7965386584646135
11,10,0.8044254810505886
11,11,0.8054351425329677
11,12,0.8081247783037556
11,13,0.8015746977424844
11,14,0.8008256834420161
11,15,0.7907941458655399
11,16,0.7884658774196688
11,17,0.7766301215956048
11,18,0.773050266529948
11,19,0.7595404107272413
11,20,0.7549030331706309
11,21,0.7402246289850414
11,22,0.7351873137279686
11,23,0.7203366545285257
12,2,0.6382819572935052
12,3,0.6785522476027231
12,4,0.7116807060651572
12,5,0.7310011131341593
12,6,0.7550573087624038
12,7,0.7634685822303231
12,8,0.7807257095106159
12,9,0.7827893798000563
12,10,0.7965746131374308
12,11,0.7954546857520444
12,12,0.805167431961637
12,13,0.7968295839870609
12,14,0.8005634789543395
12,15,0.7889836296375269
12,16,0.7901384591076751
12,17,0.7769605826284055
12,18,0.7760656753543761
12,19,0.7615307990502361
12,20,0.7589997348592316
12,21,0.7435588798882461
12,22,0.7403326398796886
12,23,0.7249391550534148
13,2,0.6294904684393213
13,3,0.6730779465996936
13,4,0.7041222341530052
13,5,0.7264627898216685
13,6,0.7475274103604833
13,7,0.7595420276762089
13,8,0.7740100228039402
13,9,0.7809461106512368
13,10,0.792131280515185
13,11,0.7964776451183853
13,12,0.8043182272984868
13,13,0.8043860299901646
13,14,0.8064286889448296
13,15,0.7993102908696139
13,16,0.7990766945712593
13,17,0.7891921760995787
13,18,0.7872410179681374
13,19,0.775213917890367
13,20,0.7717700834428756
13,21,0.7583137801052046
13,22,0.7544208939205638
13,23,0.7407894686206257
14,2,0.6180355169052558
14,3,0.6595991113153787
14,4,0.6929724916518745
14,5,0.7122020734177417
14,6,0.7349750593788827
14,7,0.7446212175812906
14,8,0.761378507609025
14,9,0.7662767493111714
14,10,0.7809685289346842
14,11,0.7838290151459179
14,12,0.7965806458915632
14,13,0.7953549464104663
14,14,0.8031425586731322
14,15,0.7946066095302877
14,16,0.7981408838387029
14,17,0.7871221276393184
14,18,0.7882036509851236
14,19,0.7752789594017059
14,20,0.7741642133720475
14,21,0.7600432876549028
14,22,0.7580256545144498
14,23,0.7441070722818846
15,2,0.6111098031923609
15,3,0.6535558455622287
15,4,0.6843329479936369
15,5,0.7061875652976922
15,6,0.7267004853693239
15,7,0.739140873494756
15,8,0.7536950114981898
15,9,0.7617418195715409
15,10,0.774750470108116
15,11,0.7817268394950164
15,12,0.7931508313414334
15,13,0.7964783005637063
15,14,0.803160910287293
15,15,0.8019060219385602
15,16,0.8042558049010683
15,17,0.7971098866292194
15,18,0.7971646409180013
15,19,0.7871457969068708
15,20,0.7852517168084213
15,21,0.773355036564401
15,22,0.7708689176948897
15,23,0.7587153269590862
16,2,0.6012408700931631
16,3,0.6402997386836751
16,4,0.6719162537977608
16,5,0.6918955417981405
16,6,0.7144115406658728
16,7,0.7251144805558416
16,8,0.7412206296490297
16,9,0.7479393512010489
16,10,0.7629593285672126
16,11,0.7686807816020569
16,12,0.7830812427927738
16,13,0.7852053598064022
16,14,0.7960699783158233
16,15,0.7936813817423292
16,16,0.8009177868052239
16,17,0.792747538058416
16,18,0.7961050625723943
16,19,0.7853364511307712
16,20,0.7860793920853325
16,21,0.7737940322044855
16,22,0.7733620854736292
16,23,0.7609177489021985
17,3,0.6339591476294681
17,4,0.6634388351314626
17,5,0.6853366569892864
17,6,0.7058552103417391
17,7,0.7190291521579799
17,8,0.7336643025811157
17,9,0.7428956780817502
17,10,0.7567651331007343
17,11,0.7652356163854005
17,12,0.7786953334296013
17,13,0.7843441550242926
17,14,0.7941536104066298
17,15,0.7956731041481309
17,16,0.8016285712935961
17,17,0.7999423344490795
17,18,0.8023873209086358
17,19,0.7950102793886917
17,20,0.7951549667846616
17,21,0.7854489420087997
17,22,0.7844717877985069
17,23,0.7740065156054151
18,3,0.6207748731362259
18,4,0.6523311477605166
18,5,0.6727263620947803
18,6,0.6940346760521372
18,7,0.7058959846729603
18,8,0.7221463605894467
18,9,0.7303171764836633
18,10,0.7454197576069563
18,11,0.7528341017376524
18,12,0.767826814567015
18,13,0.7724216544973554
18,14,0.7848550586708285
18,15,0.785006852284874
18,16,0.7946469176586499
18,17,0.7919476239305281
18,18,0.798742470420226
18,19,0.7908973357473248
18,20,0.7938743235427413
18,21,0.7837953607803859
18,22,0.7850929919364527
18,23,0.7742497274822099
19,3,0.6133356538004885
19,4,0.6430452543864572
19,5,0.6657075479112886
19,6,0.6855781278996533
19,7,0.699251408976271
19,8,0.7143882897527193
19,9,0.7246847124810144
19,10,0.7388752058485728
19,11,0.7485447389547206
19,12,0.7625614096568594
19,13,0.7696342206947413
19,14,0.7809354143341575
19,15,0.7841499273702398
19,16,0.7927080347112924
19,17,0.7933647826642889
19,18,0.799235266483217
19,19,0.797363894637134
19,20,0.7996585454920395
19,21,0.7925965073645544
19,22,0.7933550858122271
19,23,0.7848360245381494
20,3,0.6016504008760224
20,4,0.6316938837838841
20,5,0.6529487108077894
20,6,0.6744833949079477
20,7,0.6871819310970233
20,8,0.7030751269146471
20,9,0.7124892048825531
20,10,0.7279125682045233
20,11,0.7365467707792308
20,12,0.7515335548146068
20,13,0.7570301766848122
20,14,0.7697540248473959
20,15,0.7720201316924123
20,16,0.7829212253425513
20,17,0.7831264477233661
20,18,0.7922211312393641
20,19,0.789947749454277
20,20,0.7957869435701617
20,21,0.7882821894412538
20,22,0.7914770479907766
20,23,0.7824691313687506
21,4,0.6228022096267795
21,5,0.6453008536958429
21,6,0.6659569077671719
21,7,0.6804949445637072
21,8,0.6955876248211805
21,9,0.7066197611133724
21,10,0.7211039749099478
21,11,0.7316482160842014
21,12,0.745521097790132
21,13,0.7530293630989843
21,14,0.7647299556594058
21,15,0.7691706491398174
21,16,0.7792760979875177
21,17,0.7821444592073553
21,18,0.7904585991820511
21,19,0.7911275346200733
21,20,0.7961595954742582
21,21,0.7942497320659184
21,22,0.7967226312950426
21,23,0.7904417184775828
22,4,0.6123485637864503
22,5,0.6340038918723059
22,6,0.6553529562890733
22,7,0.6691830825230631
22,8,0.6856779215695638
22,9,0.6956425707183411
22,10,0.7108305098671284
22,11,0.7194216737058174
22,12,0.7345043528425703
22,13,0.7407787184211754
22,14,0.7535510431351755
22,15,0.7574920653196151
22,16,0.7689404595986199
22,17,0.7714864576314037
22,18,0.7818598662856834
22,19,0.7821748555453439
22,20,0.7901040590225183
22,21,0.7876863577534732
22,22,0.7929032331484339
22,23,0.7860807873783124
23,4,0.6044962384020484
23,5,0.6270404598850122
23,6,0.6479058048153831
23,7,0.6628371677997622
23,8,0.6785402351052123
23,9,0.6901159632226629
23,10,0.7042413869336729
23,11,0.7143150721445025
23,12,0.7284014494937172
23,13,0.7363942003512274
23,14,0.7484174662255093
23,15,0.7541434085626969
23,16,0.7648901532666151
23,17,0.7693635468389398
23,18,0.7790518482859017
23,19,0.7817406679656593
23,20,0.7888299108373047
23,21,0.7890405901131265
23,22,0.7932951242191724
23,23,0.7917191267694791
