JS,Completed,p_corr
2,4,-0.4096149930419406
2,5,-0.4428585463306683
2,6,-0.477595039854248
2,7,-0.509195483469262
2,8,-0.5334668653370727
2,9,-0.5526787777504193
2,10,-0.5710071040955921
2,11,-0.5959048932110906
2,12,-0.5951593227200628
2,13,-0.5872193048394736
2,14,-0.5810869864056415
2,15,-0.5806768700393743
2,16,-0.5751500266108651
2,17,-0.5649142647545947
2,18,-0.554181708076776
2,19,-0.5478424325944613
2,20,-0.5433785586217293
2,21,-0.5439971664105758
2,22,-0.5419476017673165
2,23,-0.5349721701007779
2,24,-0.5361371940588701
2,25,-0.5313835527340036
2,26,-0.5390281416429261
2,27,-0.5439547860184784
2,28,-0.5484953686689592
2,29,-0.5534643256240908
2,30,-0.5565615282275141
2,31,-0.560728144706172
2,32,-0.5650238519168569
2,33,-0.5685547789354863
2,34,-0.5714059749429408
2,35,-0.5665117129293695
2,36,-0.5637697646137003
2,37,-0.561234666263707
2,38,-0.5606515085184078
2,39,-0.5633383999393946
2,40,-0.5624568039781546
2,41,-0.5622152633354629
3,4,-0.4387573199439713
3,5,-0.47680683700700077
3,6,-0.5119209914723146
3,7,-0.5435681131426848
3,8,-0.5677833369084383
3,9,-0.5902507036091732
3,10,-0.6182182027700742
3,11,-0.6223394930324688
3,12,-0.6167178853836861
3,13,-0.6103841437783176
3,14,-0.6078371892856431
3,15,-0.6062880359449597
3,16,-0.5980743948380128
3,17,-0.5872512911560958
3,18,-0.5770679947931374
3,19,-0.5705552444344478
3,20,-0.5668404395639738
3,21,-0.5645376401656035
3,22,-0.558139791807959
3,23,-0.5515363690244902
3,24,-0.5444970451029497
3,25,-0.5452776001126602
3,26,-0.5510229990441493
3,27,-0.55461416734327
3,28,-0.558855554910109
3,29,-0.5631477885574264
3,30,-0.5671872988546397
3,31,-0.5714435027118723
3,32,-0.5753973785980356
3,33,-0.5784746591401289
3,34,-0.577005590377362
3,35,-0.5725828697728216
3,36,-0.5699918666141117
3,37,-0.5681360482219797
3,38,-0.5692768331891724
3,39,-0.5701861617099944
3,40,-0.5693852442821989
3,41,-0.5679143549255011
4,4,-0.4439800303463405
4,5,-0.48279495879333495
4,6,-0.517948524925897
4,7,-0.5535381464694022
4,8,-0.5807982117403372
4,9,-0.6030683177462149
4,10,-0.6292843542671109
4,11,-0.6402082266258368
4,12,-0.6398434709248281
4,13,-0.6331761349752867
4,14,-0.6287601001528716
4,15,-0.6265653400963757
4,16,-0.6224653647445229
4,17,-0.6146821022853987
4,18,-0.604129346988791
4,19,-0.5958411313278887
4,20,-0.5910993043060617
4,21,-0.5860758058683365
4,22,-0.5813691397017429
4,23,-0.5743878109499337
4,24,-0.5666713257768268
4,25,-0.5627310192470796
4,26,-0.564810863164477
4,27,-0.5700777733239488
4,28,-0.5738531267801292
4,29,-0.5784615423152452
4,30,-0.5826407996487094
4,31,-0.5861534890281949
4,32,-0.5899309148447979
4,33,-0.5932573035498913
4,34,-0.5932178568521878
4,35,-0.5907047408055447
4,36,-0.5871093316367173
4,37,-0.5849769997949288
4,38,-0.584888288496666
4,39,-0.5849302511470322
4,40,-0.5856632360693635
4,41,-0.5843044574779341
5,3,-0.4125837377165144
5,4,-0.4623034358653989
5,5,-0.5026915502069959
5,6,-0.538016779705453
5,7,-0.5730342926246752
5,8,-0.600206062254927
5,9,-0.6261024755679561
5,10,-0.642168625132865
5,11,-0.6492816884349549
5,12,-0.6476203926375205
5,13,-0.6421321114314852
5,14,-0.6379707092638446
5,15,-0.6338373412979922
5,16,-0.6273786519686991
5,17,-0.6180657543536444
5,18,-0.6081826522835327
5,19,-0.6014303359794331
5,20,-0.5956267354133322
5,21,-0.5887780105647508
5,22,-0.5833025723688526
5,23,-0.5755390943875777
5,24,-0.5708451762325953
5,25,-0.568009172312307
5,26,-0.5698217929846486
5,27,-0.573858476142089
5,28,-0.577637731923789
5,29,-0.5824685449776009
5,30,-0.5869233919780101
5,31,-0.5905057803868305
5,32,-0.5937989620556208
5,33,-0.5949999551329824
5,34,-0.594104936116076
5,35,-0.5918209679324571
5,36,-0.5887182711769151
5,37,-0.5878827576792067
5,38,-0.5873675861182142
5,39,-0.5872925117340697
5,40,-0.5874286357570989
5,41,-0.5869747354029748
6,3,-0.4088917920498953
6,4,-0.4603222969609727
6,5,-0.5024245475978725
6,6,-0.5383071485259651
6,7,-0.5736136466902577
6,8,-0.6036198722590168
6,9,-0.6294894179976132
6,10,-0.6460696285623818
6,11,-0.6566310025715837
6,12,-0.6600030914087508
6,13,-0.6587111707940829
6,14,-0.6523471997045254
6,15,-0.6477903829669102
6,16,-0.6422108899624377
6,17,-0.635750623958031
6,18,-0.6268470612079557
6,19,-0.6192167669183718
6,20,-0.6114890849333716
6,21,-0.6049247867889707
6,22,-0.59852160383463
6,23,-0.5925070051725708
6,24,-0.5874164658405971
6,25,-0.5832816637957198
6,26,-0.5813035608179865
6,27,-0.5832646243707262
6,28,-0.5877721893532346
6,29,-0.5923082837121009
6,30,-0.5969844758098022
6,31,-0.6007127100486723
6,32,-0.6038214285040462
6,33,-0.6054374204588548
6,34,-0.6056211849589107
6,35,-0.604285314057899
6,36,-0.6021905059748468
6,37,-0.6004595778244156
6,38,-0.5994119534441303
6,39,-0.5986239158994794
6,40,-0.5984283038623189
6,41,-0.5990524544836442
7,3,-0.4227974011758197
7,4,-0.4756260744797451
7,5,-0.5176098717240686
7,6,-0.5518394635388312
7,7,-0.585860424014081
7,8,-0.6171881637519948
7,9,-0.6372165179421694
7,10,-0.650563383475417
7,11,-0.6590670124481739
7,12,-0.6626762776822854
7,13,-0.6617114121207041
7,14,-0.6546393309150704
7,15,-0.6486349971592328
7,16,-0.6414242410562477
7,17,-0.6350780697859463
7,18,-0.6265366480948816
7,19,-0.6182137720841305
7,20,-0.6095750172189645
7,21,-0.6029879427425595
7,22,-0.5951910850459537
7,23,-0.5904566289560272
7,24,-0.5863235026800405
7,25,-0.5826282395017174
7,26,-0.580435421080522
7,27,-0.5823064200378841
7,28,-0.5869252983826108
7,29,-0.5918810121746299
7,30,-0.5965968114317679
7,31,-0.600208322740493
7,32,-0.6020527847265494
7,33,-0.6030492822706872
7,34,-0.6030223225027649
7,35,-0.6016546986370258
7,36,-0.6005585004560157
7,37,-0.5987679292660902
7,38,-0.5978666084730563
7,39,-0.5969167747917729
7,40,-0.5974362394142507
7,41,-0.5985666782613785
8,3,-0.4188830504585446
8,4,-0.47211552543083385
8,5,-0.5151402528643079
8,6,-0.5507059945574374
8,7,-0.5844302493928076
8,8,-0.6147451347115587
8,9,-0.6372754297030775
8,10,-0.6521157944846765
8,11,-0.662049581839755
8,12,-0.6684397048846706
8,13,-0.6717135243403591
8,14,-0.6687513091672842
8,15,-0.6615916509567065
8,16,-0.6548296019090601
8,17,-0.6494232115658287
8,18,-0.6428531129654769
8,19,-0.6345887737450583
8,20,-0.6253542229480191
8,21,-0.6170294583302839
8,22,-0.609517035416819
8,23,-0.6029765842574368
8,24,-0.5993496204674
8,25,-0.595067375996427
8,26,-0.5917667485662407
8,27,-0.5905410964981043
8,28,-0.5934882210488132
8,29,-0.5989148319660147
8,30,-0.6034651594474532
8,31,-0.6071935305478333
8,32,-0.6094263644093917
8,33,-0.6107130105769442
8,34,-0.6111834589798019
8,35,-0.6106969504337468
8,36,-0.6101816998425872
8,37,-0.6090821416224913
8,38,-0.6075419541152606
8,39,-0.6062439885235457
8,40,-0.6062363606612071
8,41,-0.6071025701180491
9,3,-0.4341454323954463
9,4,-0.4876267175145855
9,5,-0.5287192169207325
9,6,-0.5612634235327756
9,7,-0.5948533378739892
9,8,-0.6204274924585212
9,9,-0.6397135344610086
9,10,-0.6527746497908297
9,11,-0.6624941770559793
9,12,-0.6689029203125388
9,13,-0.6711141996098029
9,14,-0.6673849572869053
9,15,-0.6594766571032418
9,16,-0.652976396813658
9,17,-0.6474161181506498
9,18,-0.6399086937764182
9,19,-0.6306295408726119
9,20,-0.6210839399771715
9,21,-0.611720639467343
9,22,-0.6045021132930789
9,23,-0.5983485785622388
9,24,-0.594958925243356
9,25,-0.5907737853940485
9,26,-0.587737486925048
9,27,-0.5869886791195021
9,28,-0.590511513206628
9,29,-0.5958642901133421
9,30,-0.6003584386776236
9,31,-0.6032080047408527
9,32,-0.6050064317311382
9,33,-0.6059348252594895
9,34,-0.6062107370835902
9,35,-0.6063462434795621
9,36,-0.6057506449681583
9,37,-0.605026820393289
9,38,-0.6035618839884842
9,39,-0.6029686344657766
9,40,-0.6035137556088686
9,41,-0.6051050813207359
10,3,-0.4324286920716773
10,4,-0.48518072861799894
10,5,-0.5269105569113567
10,6,-0.5602382275774268
10,7,-0.5938706734636994
10,8,-0.6193006311383112
10,9,-0.638919436285907
10,10,-0.654442645776584
10,11,-0.6656486425108774
10,12,-0.6730528553859324
10,13,-0.6778697965296809
10,14,-0.6779632245043522
10,15,-0.673474811510558
10,16,-0.6664167564190019
10,17,-0.6613530506993582
10,18,-0.6548654058931865
10,19,-0.6471074756976284
10,20,-0.6372451179086345
10,21,-0.6271864407099181
10,22,-0.6180449294011544
10,23,-0.6118699459098194
10,24,-0.6062314184842792
10,25,-0.6020151643802847
10,26,-0.5985468266878528
10,27,-0.5967084309936233
10,28,-0.5975531955660981
10,29,-0.601525792850629
10,30,-0.6063837051141356
10,31,-0.6090736385464715
10,32,-0.6112207949131788
10,33,-0.6124844241138142
10,34,-0.6130365848978734
10,35,-0.6135514425796845
10,36,-0.6136185568246658
10,37,-0.6133379062382955
10,38,-0.6124899477438182
10,39,-0.6113866699332382
10,40,-0.6116222306220049
10,41,-0.6126988791339908
11,3,-0.4475711982879731
11,4,-0.4991957360073605
11,5,-0.5375237494844448
11,6,-0.5695509208011533
11,7,-0.5997443108055293
11,8,-0.6225792521508162
11,9,-0.6407269132662244
11,10,-0.6557835620997129
11,11,-0.666633147046088
11,12,-0.6731946808718091
11,13,-0.677132115335895
11,14,-0.6755931747595235
11,15,-0.6711858669532684
11,16,-0.6644192689209181
11,17,-0.6585433305458828
11,18,-0.6507838496016433
11,19,-0.6420735927730292
11,20,-0.6310672546659387
11,21,-0.6207322165417609
11,22,-0.6118312752075541
11,23,-0.6056543914056152
11,24,-0.5999228773027954
11,25,-0.5959140968584109
11,26,-0.5929590959255002
11,27,-0.5920194509520565
11,28,-0.5930457913550484
11,29,-0.5970387130090054
11,30,-0.6010100059113469
11,31,-0.6034597263984751
11,32,-0.6051099786778943
11,33,-0.6062187561908479
11,34,-0.6073174592114771
11,35,-0.6076940177299903
11,36,-0.6079540794827692
11,37,-0.6077364715157002
11,38,-0.6074896360794151
11,39,-0.6070110618596113
11,40,-0.6079529265390676
11,41,-0.609913373102611
12,3,-0.4476441059051153
12,4,-0.49913487951303864
12,5,-0.5372644152979047
12,6,-0.5695882946722315
12,7,-0.6001523196941965
12,8,-0.6235472411091486
12,9,-0.6420303296078785
12,10,-0.6576554840307267
12,11,-0.670638010725785
12,12,-0.6784986639045624
12,13,-0.6835064721625814
12,14,-0.6844331629823006
12,15,-0.683223248059335
12,16,-0.6791425213360311
12,17,-0.6730154674827471
12,18,-0.6660608942407369
12,19,-0.6582072615669059
12,20,-0.6482803260875911
12,21,-0.6371538050939977
12,22,-0.6271597599161417
12,23,-0.6189261317212915
12,24,-0.6129534648750877
12,25,-0.6065568394245212
12,26,-0.6034027977907394
12,27,-0.6019736955852385
12,28,-0.601944444954398
12,29,-0.6035132080080355
12,30,-0.6063738777260055
12,31,-0.6091242009567456
12,32,-0.6107608757759949
12,33,-0.612209062589025
12,34,-0.6136143508342501
12,35,-0.6142357493929911
12,36,-0.6148386364246087
12,37,-0.6151287883990537
12,38,-0.6152147844846442
12,39,-0.6151308468600052
12,40,-0.6156802158423258
12,41,-0.6173052764837227
13,3,-0.46045932543368157
13,4,-0.5088951272860185
13,5,-0.5457133340073906
13,6,-0.5758316454708305
13,7,-0.6039303023401883
13,8,-0.6259911907196443
13,9,-0.6438427202924389
13,10,-0.6588789816149527
13,11,-0.6710729106461307
13,12,-0.6781964512465672
13,13,-0.6818532993789644
13,14,-0.6825039972580433
13,15,-0.6808302927825616
13,16,-0.6758243098029634
13,17,-0.668730611276417
13,18,-0.6605448385729314
13,19,-0.6513407546064178
13,20,-0.6404903419062105
13,21,-0.6293341751907159
13,22,-0.6192529106843458
13,23,-0.6108868642869599
13,24,-0.6050178852224918
13,25,-0.5990778597535992
13,26,-0.5967870160405826
13,27,-0.5955744850706359
13,28,-0.5957642673190408
13,29,-0.5967954946504541
13,30,-0.5995488701303621
13,31,-0.6017386191459214
13,32,-0.6032429132596038
13,33,-0.6051928888015741
13,34,-0.6065520307659366
13,35,-0.6073315443972529
13,36,-0.607919446849648
13,37,-0.6086814686120963
13,38,-0.6092644384794705
13,39,-0.609866124977616
13,40,-0.6113224668946514
13,41,-0.6126459994491288
14,3,-0.46006975619764456
14,4,-0.508772970894408
14,5,-0.5456599523463339
14,6,-0.5758323197000704
14,7,-0.6042036915014298
14,8,-0.6268136000476406
14,9,-0.6453209860321573
14,10,-0.6607039717902967
14,11,-0.6735010097761358
14,12,-0.6826752724284068
14,13,-0.6876565182132917
14,14,-0.6894564527483789
14,15,-0.6900893231748378
14,16,-0.6877861065854128
14,17,-0.6831684979266472
14,18,-0.674934189158011
14,19,-0.6664129029525075
14,20,-0.6562745655462582
14,21,-0.6455965325684562
14,22,-0.6343239835240456
14,23,-0.6247796933658968
14,24,-0.6169777036051703
14,25,-0.6106876115610476
14,26,-0.6061422515214557
14,27,-0.6046099852184634
14,28,-0.6043120870015852
14,29,-0.6043999971953937
14,30,-0.6051040260631311
14,31,-0.606339760454756
14,32,-0.608169831734477
14,33,-0.6101052767505172
14,34,-0.6118153295681618
14,35,-0.6129003972232335
14,36,-0.613745946674359
14,37,-0.6147876152608166
14,38,-0.6157714242248785
14,39,-0.6166058875398999
14,40,-0.6183926414854228
14,41,-0.6194113171252751
15,2,-0.40814118357543094
15,3,-0.4672067817438625
15,4,-0.5149516918530915
15,5,-0.5499342377672819
15,6,-0.5779441203696634
15,7,-0.6052013601741943
15,8,-0.6273414242269431
15,9,-0.6451358413198058
15,10,-0.6599374814040214
15,11,-0.6719969769550942
15,12,-0.6800712197577847
15,13,-0.684781023611871
15,14,-0.6862330442367685
15,15,-0.6857266835222142
15,16,-0.682144858330609
15,17,-0.6760304689872348
15,18,-0.6667450332505144
15,19,-0.6570118474872811
15,20,-0.6464842735609464
15,21,-0.6354723553567037
15,22,-0.6241533778853527
15,23,-0.6148182646664169
15,24,-0.6075053553536344
15,25,-0.6020990052694307
15,26,-0.5976928752259687
15,27,-0.5963498296479397
15,28,-0.5956945145453316
15,29,-0.5959259728084134
15,30,-0.5962527844793942
15,31,-0.5974212790272394
15,32,-0.5996641276054224
15,33,-0.6016135362501689
15,34,-0.6035609280271751
15,35,-0.6046737212946978
15,36,-0.6059340709281732
15,37,-0.6074702151220503
15,38,-0.6090167362810476
15,39,-0.6107482684651215
15,40,-0.6123351459746396
15,41,-0.6134470412513562
16,2,-0.4049769733989813
16,3,-0.4651616801166553
16,4,-0.5139222058760369
16,5,-0.5493781135815051
16,6,-0.5777868334892763
16,7,-0.6053536615345545
16,8,-0.6278286381109601
16,9,-0.6461221205056416
16,10,-0.6615102302241672
16,11,-0.6740605801814712
16,12,-0.6828901883593095
16,13,-0.6894990035282098
16,14,-0.6922139856435797
16,15,-0.6930400713045336
16,16,-0.6916236637713418
16,17,-0.688060747865466
16,18,-0.6809426405795791
16,19,-0.6713725285802307
16,20,-0.661434036419527
16,21,-0.6508555431746315
16,22,-0.6396476771481908
16,23,-0.6290281872393678
16,24,-0.6205043590732611
16,25,-0.6133170099109412
16,26,-0.6084870199774937
16,27,-0.6048846093213746
16,28,-0.6038408779600695
16,29,-0.6036657720342998
16,30,-0.6032138366595343
16,31,-0.602559997677517
16,32,-0.6039589976749128
16,33,-0.6061813343238526
16,34,-0.6081616875047112
16,35,-0.6096423201429897
16,36,-0.6112015688298028
16,37,-0.6129558109336265
16,38,-0.6147298730915797
16,39,-0.616772727859693
16,40,-0.6186230436508879
16,41,-0.6201730112923158
17,2,-0.4082694268369744
17,3,-0.46788309509826354
17,4,-0.515478414842844
17,5,-0.5494864022161893
17,6,-0.5770624890962739
17,7,-0.6042856559418256
17,8,-0.6261609555177188
17,9,-0.6442146779734818
17,10,-0.659168199076141
17,11,-0.6709265050644008
17,12,-0.6794690276541258
17,13,-0.685927938227055
17,14,-0.6876928080050972
17,15,-0.6872813406032674
17,16,-0.684142919810957
17,17,-0.6792527776050842
17,18,-0.6706712335060128
17,19,-0.6607487774612684
17,20,-0.650241827545494
17,21,-0.6395494551698959
17,22,-0.6284625001832556
17,23,-0.6182627206418982
17,24,-0.6106503165196044
17,25,-0.6035832481509018
17,26,-0.5988736006669795
17,27,-0.595034713323817
17,28,-0.5942071277797633
17,29,-0.5937652604041765
17,30,-0.5933979385035625
17,31,-0.5932136223316042
17,32,-0.5946356667972273
17,33,-0.5971030715992263
17,34,-0.5991740171535368
17,35,-0.6010961376150787
17,36,-0.6031317758639787
17,37,-0.6053847159043606
17,38,-0.6080400140482665
17,39,-0.609998473923191
17,40,-0.6120812672460347
17,41,-0.6127276190384702
18,2,-0.4038826548432127
18,3,-0.46393620268947533
18,4,-0.5126338440868576
18,5,-0.5476825703697737
18,6,-0.5760670607601376
18,7,-0.603929165118414
18,8,-0.6262325286894606
18,9,-0.6446788584226465
18,10,-0.6601967192209975
18,11,-0.6727098294687672
18,12,-0.6819202530948629
18,13,-0.68916293968253
18,14,-0.6927518589149376
18,15,-0.6937906604028248
18,16,-0.6920628243605089
18,17,-0.689461847243908
18,18,-0.683164410520683
18,19,-0.6746765574102137
18,20,-0.6643966480505854
18,21,-0.6540793805718097
18,22,-0.6432255162156777
18,23,-0.6328501597778821
18,24,-0.6237963505006868
18,25,-0.6155118233494442
18,26,-0.6091185148334269
18,27,-0.6047817419233886
18,28,-0.6018165207631982
18,29,-0.6009838611880597
18,30,-0.6002769840776219
18,31,-0.5993433634249348
18,32,-0.5991481707855489
18,33,-0.600875961170843
18,34,-0.6032280837881941
18,35,-0.6051791755026105
18,36,-0.6075520205945644
18,37,-0.6100353602709551
18,38,-0.6128911494150064
18,39,-0.6150922087902666
18,40,-0.6175931022105857
18,41,-0.6185265448468534
19,2,-0.40360595140991773
19,3,-0.46299599963026755
19,4,-0.5105563593625135
19,5,-0.5451173168258199
19,6,-0.5730419556568791
19,7,-0.6005413375552239
19,8,-0.6228742832161925
19,9,-0.641146218407717
19,10,-0.6562197313047036
19,11,-0.6685357150290059
19,12,-0.6779499016629564
19,13,-0.6844338661434912
19,14,-0.6869807132995109
19,15,-0.686417449576628
19,16,-0.6835877811012132
19,17,-0.6791500027905025
19,18,-0.6719490226502494
19,19,-0.6625157331999701
19,20,-0.6521094375262516
19,21,-0.6417789374466343
19,22,-0.6311675087961442
19,23,-0.6216296147633288
19,24,-0.6127096409327
19,25,-0.6046295510275631
19,26,-0.598013907785798
19,27,-0.5939674535401751
19,28,-0.5907536825947993
19,29,-0.5900669178416579
19,30,-0.5897926913936935
19,31,-0.5889919251253766
19,32,-0.5891155914173534
19,33,-0.5910057532589383
19,34,-0.5936678216548871
19,35,-0.5961090684263901
19,36,-0.5988498212158098
19,37,-0.6022581817608689
19,38,-0.6051140630678454
19,39,-0.6076345653501172
19,40,-0.6091291515386722
19,41,-0.6102197963039717
20,3,-0.45889352314655074
20,4,-0.5067759310226084
20,5,-0.5423232950206182
20,6,-0.5713077428548293
20,7,-0.5996355490991103
20,8,-0.62259575744282
20,9,-0.6413414310347723
20,10,-0.6568606692520494
20,11,-0.6698770794710929
20,12,-0.6800902809183583
20,13,-0.6873011332275843
20,14,-0.6907484790038129
20,15,-0.6920133050499558
20,16,-0.690632746266648
20,17,-0.6877470233646864
20,18,-0.6827745550801356
20,19,-0.675229924557165
20,20,-0.6657904796396578
20,21,-0.655623558087895
20,22,-0.6451740529236312
20,23,-0.6356590852075801
20,24,-0.6263246009483177
20,25,-0.6168402223283145
20,26,-0.6090951183298701
20,27,-0.6034401000534928
20,28,-0.5996753451282112
20,29,-0.5968591948382482
20,30,-0.5961848172392499
20,31,-0.5950145479573781
20,32,-0.5944490732975504
20,33,-0.5948827983291306
20,34,-0.5968387671054252
20,35,-0.5994819110300131
20,36,-0.6022054152764108
20,37,-0.6058576547743343
20,38,-0.6089783748121661
20,39,-0.6117534498555398
20,40,-0.6135044396081426
20,41,-0.6149680874712037
21,3,-0.4541789922554154
21,4,-0.5026225184244769
21,5,-0.5382324894178203
21,6,-0.5668811545120624
21,7,-0.5956334690580538
21,8,-0.6186415804747267
21,9,-0.6369440320008257
21,10,-0.6525896192760609
21,11,-0.666104535612437
21,12,-0.6757272200160216
21,13,-0.6821143388663949
21,14,-0.6838202147692798
21,15,-0.6840417783481524
21,16,-0.6809742394395963
21,17,-0.6772792935435418
21,18,-0.6709931816522577
21,19,-0.6629747234157843
21,20,-0.6533770055056224
21,21,-0.6433303579444338
21,22,-0.6336497729135527
21,23,-0.6240755604802075
21,24,-0.6149416769025392
21,25,-0.6054044672401425
21,26,-0.5980407523551878
21,27,-0.5920145561019908
21,28,-0.588453371555285
21,29,-0.5860928619160962
21,30,-0.5855888831545526
21,31,-0.5848241799723465
21,32,-0.5845663353340098
21,33,-0.5853496984741777
21,34,-0.5877977063260477
21,35,-0.590607033512186
21,36,-0.5942890135918039
21,37,-0.5980099581753111
21,38,-0.6015000164329087
21,39,-0.603161229212252
21,40,-0.6051454643618723
21,41,-0.6060238584257909
22,3,-0.4501073020353524
22,4,-0.498370871114675
22,5,-0.5343347462948504
22,6,-0.5638622568161454
22,7,-0.5939395073200109
22,8,-0.6177225221653513
22,9,-0.6366583471283381
22,10,-0.6527555990783452
22,11,-0.666812960383598
22,12,-0.6772124151592901
22,13,-0.6844578293274225
22,14,-0.6869256373250748
22,15,-0.6880785783021783
22,16,-0.6867657702818333
22,17,-0.6846979813133572
22,18,-0.6801117910821122
22,19,-0.6741208401811002
22,20,-0.6661714109668792
22,21,-0.6566806397479744
22,22,-0.6471380689201537
22,23,-0.637548632082523
22,24,-0.628262889738996
22,25,-0.618304424234765
22,26,-0.6096618136070194
22,27,-0.6025114363030002
22,28,-0.597299393926907
22,29,-0.5943597243125163
22,30,-0.5917821605236625
22,31,-0.5906187816772238
22,32,-0.5899753249547133
22,33,-0.5901021991065606
22,34,-0.5911655253950582
22,35,-0.5932800161203666
22,36,-0.5971045931042945
22,37,-0.6007978024807271
22,38,-0.6046075311746323
22,39,-0.6065108234327858
22,40,-0.6087286251446983
22,41,-0.6098740236179735
23,3,-0.4455431055652041
23,4,-0.4944370631809885
23,5,-0.5303987440894843
23,6,-0.560479086272673
23,7,-0.5906369310928377
23,8,-0.6137814403376293
23,9,-0.6328842140571931
23,10,-0.6497070102792949
23,11,-0.6632455953305174
23,12,-0.6729516828008527
23,13,-0.6782867868109592
23,14,-0.6798883648113341
23,15,-0.679363824187329
23,16,-0.6774066757728342
23,17,-0.6739034106536599
23,18,-0.6688221510518969
23,19,-0.6624726815908167
23,20,-0.654336031174031
23,21,-0.6455093932283491
23,22,-0.6357883522777532
23,23,-0.6263218525856
23,24,-0.6170369245379884
23,25,-0.6074978346642164
23,26,-0.5983901864455697
23,27,-0.5914756705709352
23,28,-0.5866853355374667
23,29,-0.5839139898931264
23,30,-0.5818131087333429
23,31,-0.5810441960152875
23,32,-0.5807603296135213
23,33,-0.5815213164949561
23,34,-0.5826527103474237
23,35,-0.5857401285488792
23,36,-0.5897281390772094
23,37,-0.5938459910586629
23,38,-0.5964612329565965
23,39,-0.5986529117801316
23,40,-0.6002697764483841
23,41,-0.6008900099846213
